Resolution,Date,Summary
A/HRC/RES/S-16/1,2011/04/29,The current human rights situation in the Syrian Arab Republic in the context of recent events :resolution /adopted by the Human Rights Council at its 16th special session
A/HRC/RES/17/6,2011/06/16,Mandate of the independent expert on human rights and international solidarity :resolution /adopted by the Human Rights Council at its 17th session
A/HRC/RES/17/7,2011/06/16,"The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 17th session"
A/HRC/RES/17/10,2011/06/17,Follow-up the report of the Independent International Fact Finding Mission on the incident of the Humanitarian Flotilla :resolution /adopted by the Human Rights Council at its 17th session
A/HRC/RES/17/16,2011/06/17,Promotion of the right of peoples to peace :resolution /adopted by the Human Rights Council at its 17th session
A/HRC/RES/17/19,2011/06/17,"Human rights, sexual orientation and gender identity :resolution /adopted by the Human Rights Council at its 17th session"
A/HRC/RES/17/22,2011/06/17,Migrants and asylum seekers fleeing from events in North Africa :resolution /adopted by the Human Rights Council at its 17th session
A/HRC/RES/17/23,2011/06/17,The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights :resolution /adopted by the Human Rights Council at its 17th session
A/HRC/RES/17/24,2011/06/17,Human rights situation  in Belarus :resolution /adopted by the Human Rights Council at its 17th session
A/HRC/RES/S-17/1,2011/08/23,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 17th special session
A/HRC/18/L.33,2011/09/26,Promotion of a democratic and equitable international order :amendment /Human Rights Council at its 18th session
A/HRC/18/L.34,2011/09/26,Forum on Minority Issues :amendment /Human Rights Council at its 18th session
A/HRC/RES/18/4,2011/09/29,The use of mercenaries as a means of violating human rights and impeding the exercise of the right of people to self-determination :resolution /adopted by the Human Rights Council at its 18th session
A/HRC/RES/18/5,2011/09/29,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 18th session
A/HRC/RES/18/6,2011/09/29,Promotion of a democratic and equitable international order :resolution /adopted by the Human Rights Council at its 18th session
A/HRC/RES/18/20,2011/09/29,"Panel on the promotion and protection of human rights in a multicultural context including through combating xenophobia, discrimination and intolerance :resolution /adopted by the Human Rights Council at its 18th session"
A/HRC/RES/18/26,2011/09/30,The right to development :resolution /adopted by the Human Rights Council at its 18th session
